Format,  CSV
Property of the curves, 7 9 1.000000 1.000000 
CURVE, Y1, Y2, Y3, Y4, Y5, Y6, Y7
0, 0.000000, -1.000000, 0.000000, 0.275655, 0.114892, 0.000000, 100.000000
1, 133.000000, -1.000000, 0.000000, 0.369707, -0.081763, 0.000000, 100.000000
2, 267.000000, -1.000000, 0.000000, 0.460356, 0.100878, 0.000000, 100.000000
3, 400.000000, 0.000000, 0.000000, -0.271308, 0.097878, 0.000000, 100.000000
4, 533.000000, 0.000000, 0.000000, 0.207691, -0.141920, 0.000000, 100.000000
5, 667.000000, 0.000000, 0.000000, 0.047245, 0.114090, 0.000000, 100.000000
6, 800.000000, 0.000000, 0.000000, 0.147671, -0.052782, 0.000000, 100.000000
7, 933.000000, 0.000000, 0.000000, 0.289369, 0.141633, 0.000000, 100.000000
8, 1067.000000, 0.000000, 0.000000, -0.061853, -0.089003, 0.000000, 100.000000

